channel,mean,rms,meanerr,rmserr,tv
1989,483.598,5.69727,0.151995,0.189769,9754
1990,542.779,7.65866,0.201677,0.286358,9754
1991,586.995,5.69599,0.145429,0.180593,9754
1640,2503.07,12.92,0.321691,0.437035,9754
1802,2573.91,10.0786,0.286332,0.398892,9754
1623,2389.28,8.01693,0.203135,0.277635,9754
1801,2422.75,10.7996,0.280466,0.38601,9754
1624,2363.58,9.81563,0.285578,0.393141,9754
1800,2341.49,8.54817,0.255403,0.264745,9754
1625,2288.06,8.13716,0.230588,0.249563,9754
1799,2297.97,9.83673,0.357111,0.372185,9754
1626,2292.36,9.5199,0.21392,0.296251,9754
1798,2241.81,9.14135,0.21892,0.364198,9754
1627,2245.85,8.4926,0.22677,0.327155,9754
1797,2265.86,8.01784,0.167075,0.289174,9754
1628,2280.44,7.94222,0.250502,0.274463,9754
1796,2330.44,7.70743,0.146023,0.24499,9754
1629,2319.92,7.55144,0.260324,0.23206,9754
1795,2273.25,8.37685,0.240655,0.273362,9754
1794,2231.16,8.88623,0.263248,0.286298,9754
1793,2535.65,8.50137,0.278527,0.273672,9754
1792,2376.78,8.31054,0.261139,0.329618,9754
1632,2387.88,7.52211,0.20814,0.298828,9754
1791,2306.66,8.8817,0.298089,0.328509,9754
1633,2289.8,8.45607,0.316035,0.312005,9754
1790,2351.28,8.94237,0.267388,0.31164,9754
1634,2320.59,7.53583,0.23893,0.23326,9754
1789,2318.21,7.51962,0.234541,0.259112,9754
1635,2328.55,8.04409,0.226607,0.224602,9754
1788,2347.52,8.05371,0.274442,0.25874,9754
1636,2317.66,7.12173,0.200489,0.25034,9754
1787,2381.7,7.72876,0.225326,0.242838,9754
1637,2281.97,7.63839,0.206312,0.265543,9754
1786,2361.45,10.6595,0.379635,0.426963,9754
1638,2355.47,9.47926,0.26164,0.419336,9754
1785,2342.47,12.694,0.349471,0.342419,9754
1630,2607.98,10.1923,0.328018,0.403456,9754
2006,562.774,8.00424,0.219492,0.216039,9754
2007,529.382,8.40509,0.174499,0.164429,9754
2008,505.789,10.6275,0.169884,0.226649,9754
2009,549.87,9.53648,0.207133,0.192897,9754
2010,519.586,9.4559,0.235528,0.212106,9754
2011,522.698,9.58076,0.163167,0.23377,9754
2012,495.518,9.25503,0.192475,0.209886,9754
2013,561.157,9.06854,0.230902,0.217473,9754
2014,481.169,9.62231,0.195581,0.180468,9754
2015,518.927,9.56251,0.178577,0.278671,9754
2016,548.964,9.51911,0.194067,0.207534,9754
2017,580.026,10.428,0.204233,0.296536,9754
2018,569.957,10.7573,0.263314,0.299546,9754
2019,596.819,9.18274,0.188475,0.180335,9754
1622,2513.88,10.1772,0.2732,0.364054,9754
1639,2717.44,12.8151,0.311476,0.261169,9754
1992,524.157,6.02247,0.174577,0.21316,9754
1993,547.066,7.22288,0.199842,0.279411,9754
1994,518.933,5.36365,0.15215,0.193206,9754
1995,479.438,5.77956,0.139901,0.179767,9754
1996,486.632,5.81593,0.136448,0.198206,9754
1997,520.355,5.19099,0.16059,0.207109,9754
1998,484.937,6.11435,0.154331,0.184397,9754
1999,543.001,6.19843,0.152194,0.172584,9754
2000,553.559,6.89903,0.195486,0.206149,9754
2001,527.478,6.54176,0.178236,0.171447,9754
2002,517.079,6.41357,0.191548,0.241734,9754
2003,531.667,6.87127,0.179351,0.177624,9754
2004,596.047,6.95632,0.165195,0.164999,9754
2005,576.083,8.93145,0.159983,0.311044,9754
1631,2620.01,11.8872,0.373216,0.331938,9754
1811,2544.96,1178.64,10.1331,4.31029,9754
1810,1531.54,1105.08,9.75619,3.43304,9754
1614,1896.26,1145.86,5.84183,1.04334,9754
1809,865.09,298.876,3.96605,13.2947,9754
1615,2154.53,970.788,9.68527,3.32453,9754
1808,2987.59,106.183,1.59659,1.35357,9754
1616,2885.85,131.421,1.88465,9.28793,9754
1807,1373.24,1024.11,9.53303,5.21828,9754
1617,3003.44,33.2672,0.682549,0.519033,9754
1806,3017.69,25.8245,0.696675,0.874422,9754
1618,2802.94,81.6823,1.77741,2.62219,9754
1805,2630.25,126.305,3.31862,1.10486,9754
1619,2931.9,29.8834,0.702796,1.04584,9754
1804,2752.49,115.875,2.24169,1.31834,9754
1620,2976.5,37.9064,0.845674,0.263728,9754
1803,2822.29,58.9426,1.36732,3.27815,9754
1820,2668.61,9.47651,0.23861,0.259775,9754
1605,2457,7.598,0.247743,0.203944,9754
1819,2344.84,7.35133,0.185135,0.19348,9754
1606,2391.44,7.01647,0.209823,0.17764,9754
1818,2347.66,7.86883,0.185547,0.218902,9754
1607,2388.58,6.74026,0.190567,0.188977,9754
1817,2350.6,7.69587,0.176618,0.207142,9754
1608,2350.97,8.7111,0.291005,0.269722,9754
1816,2320.3,7.00412,0.182389,0.179417,9754
1609,2404.21,8.09003,0.21813,0.182211,9754
1815,2311.33,7.30243,0.127352,0.238076,9754
1610,2320.8,6.70676,0.172086,0.172837,9754
1814,2324.96,6.70588,0.183442,0.180924,9754
1611,2334.68,7.02813,0.19909,0.183665,9754
1813,2326.68,7.27111,0.200301,0.188496,9754
1812,2352.23,8.16428,0.22156,0.249203,9754
1621,2740.43,11.3287,0.306246,0.407208,9754
2020,670.102,10.0376,0.187338,0.237594,9754
2021,644.527,8.22559,0.376716,0.302675,9754
2022,657.018,8.94235,0.170511,0.163612,9754
2023,577.584,10.4691,0.192906,0.224563,9754
2024,582.641,9.2567,0.161904,0.187727,9754
2025,549.162,9.5115,0.172405,0.212292,9754
2026,571.009,12.0506,0.226286,0.234123,9754
2027,539.734,9.73341,0.180504,0.149013,9754
2028,612.517,10.5601,0.199219,0.170233,9754
2029,609.864,9.37294,0.120829,0.129065,9754
2030,640.779,13.0839,0.207584,0.24248,9754
2031,697.849,12.9024,0.239869,0.234538,9754
2032,670.271,9.933,0.166112,0.163497,9754
2033,732.858,11.0322,0.187326,0.178391,9754
1613,2763.61,8.12687,0.117761,0.293637,9754
1612,2668.6,7.69225,0.204558,0.213052,9754
2034,676.991,9.94453,0.155004,0.167526,9754
2035,657.26,9.62564,0.169549,0.12938,9754
2036,625.977,10.2001,0.199804,0.181459,9754
2037,584.937,10.3476,0.181377,0.19496,9754
2038,573.521,12.6764,0.204187,0.198021,9754
2039,612.375,11.2469,0.220527,0.22251,9754
2040,610.85,9.28557,0.169855,0.140901,9754
2041,556.361,10.5692,0.198317,0.23772,9754
2042,586.326,9.01093,0.158237,0.181799,9754
2043,536.515,9.63728,0.211753,0.159271,9754
2044,581.177,14.0372,0.33224,0.240863,9754
2045,585.5,10.2568,0.269012,0.259462,9754
2046,1409.67,1.05506,0.0772908,0.0358801,9754
2047,721.361,9.26972,0.161721,0.158014,9754
1604,2714.92,9.71692,0.289922,0.264994,9754
1694,2590.68,10.5625,0.255981,0.236986,9754
1587,2395.36,6.35369,0.153387,0.283857,9754
1693,2352.76,11.1904,0.237886,0.244201,9754
1588,2372.61,7.21532,0.170475,0.211815,9754
1692,2389.32,6.93315,0.194977,0.145081,9754
1589,2356.27,7.70765,0.241056,0.380231,9754
1691,4029.03,1.7611,0.00,0.343962,9754
1590,2365.59,6.52507,0.104875,0.188792,9754
1690,2410.18,9.23868,0.195448,0.231745,9754
1591,2389.7,5.70006,0.179613,0.259245,9754
1689,2372.13,9.17317,0.168752,0.215351,9754
1592,2398.53,4.86401,0.165733,0.225498,9754
