channel, mean, rms, meaner, rmserr, tv
1422,778.08,5.41,0,0,1
1420,777.44,5.11,0,0,1
1418,784.31,5.92,0,0,1
1416,762.89,7,0,0,1
1414,737.68,8.45,0,0,1
1412,780.48,6.86,0,0,1
1410,767.74,7.69,0,0,1
1408,773.03,6.49,0,0,1
1487,772.84,6.62,0,0,1
1485,776.21,6.47,0,0,1
1483,775.11,6.45,0,0,1
1481,787.23,7.17,0,0,1
1479,777.61,6.75,0,0,1
1477,781.99,6.61,0,0,1
1475,782.15,7.17,0,0,1
1473,772.05,6.31,0,0,1
1472,768.34,7.58,0,0,1
1503,772.03,6.76,0,0,1
1502,753.67,7.44,0,0,1
1500,754.44,6.63,0,0,1
1498,744.54,8.09,0,0,1
1496,744.98,8.15,0,0,1
1494,760.85,7.29,0,0,1
1492,751.85,7.26,0,0,1
1490,746.89,7.62,0,0,1
1488,748.92,7.59,0,0,1
1055,758.62,7.43,0,0,1
1053,733.31,7.79,0,0,1
1051,734.34,7.67,0,0,1
1049,738.8,7.75,0,0,1
1047,755.17,6.99,0,0,1
1045,715.15,6.71,0,0,1
1043,747.32,7.53,0,0,1
1041,723.77,7.5,0,0,1
1040,738.66,7.06,0,0,1
1039,723.39,7.33,0,0,1
1038,744.08,7.85,0,0,1
1036,806.07,8.89,0,0,1
1034,819.32,5.66,0,0,1
1032,820.85,6.34,0,0,1
1030,835.44,4.8,0,0,1
1028,796.39,6.13,0,0,1
1026,819.07,5.73,0,0,1
1024,798.83,6.59,0,0,1
1103,824.77,5.48,0,0,1
1101,777.29,5.37,0,0,1
1099,825.94,5.59,0,0,1
1097,815.94,5.79,0,0,1
1095,822.28,5.6,0,0,1
1093,832.56,6.3,0,0,1
1091,822.99,5.13,0,0,1
1089,826.64,5.6,0,0,1
1088,815.34,8,0,0,1
1119,816.55,7.42,0,0,1
1118,821.99,5.36,0,0,1
1116,826.69,5.17,0,0,1
1114,819.29,5.46,0,0,1
1112,798.53,6.33,0,0,1
1110,802.67,6.18,0,0,1
1108,832.53,5.75,0,0,1
1106,823.78,5.19,0,0,1
1104,801.19,6.76,0,0,1
1183,813.69,6.28,0,0,1
1181,792,6.47,0,0,1
1179,815.13,6.38,0,0,1
1177,801.9,6.77,0,0,1
1175,1551.96,1.69,0,0,1
1173,816.7,6,0,0,1
1171,787.98,8.72,0,0,1
1169,824.98,5.68,0,0,1
1168,825.46,5.2,0,0,1
1167,798.58,6.02,0,0,1
1166,802.86,5.96,0,0,1
1164,835.88,4.81,0,0,1
1162,819.89,5.7,0,0,1
1160,0,0,0,0,1
1158,819.97,5.72,0,0,1
1156,813.48,6.18,0,0,1
1154,822.81,5.29,0,0,1
1152,801.28,6.07,0,0,1
1231,824.67,5.14,0,0,1
1229,783.22,5.69,0,0,1
1227,815.69,5.95,0,0,1
1225,809.69,6.79,0,0,1
1223,802.44,7.01,0,0,1
1221,803.85,7.32,0,0,1
1219,789.21,6.43,0,0,1
1217,798.05,6.65,0,0,1
1216,791.34,6.34,0,0,1
1247,788.65,6.07,0,0,1
1246,779.99,5.57,0,0,1
1244,771.74,4.23,0,0,1
1242,786.12,5.99,0,0,1
1240,779.8,5.17,0,0,1
1238,778.63,5.5,0,0,1
1236,790.93,6.16,0,0,1
1234,809.41,7.13,0,0,1
1232,793.85,6.42,0,0,1
1311,799.99,6.4,0,0,1
1309,785.54,6.03,0,0,1
1307,774.66,4.9,0,0,1
1534,800.82,6.96,0,0,1
1533,788.17,4.45,0,0,1
1532,776.41,4.71,0,0,1
1531,771.02,3.44,0,0,1
1530,786.36,4.34,0,0,1
1529,769.16,3.9,0,0,1
1528,772.34,3.43,0,0,1
1527,778.62,4.27,0,0,1
1526,787.1,4.79,0,0,1
1525,758.83,4.26,0,0,1
1524,765.99,4.02,0,0,1
1523,771.97,3.4,0,0,1
1522,776.05,3.99,0,0,1
1521,795.54,4.98,0,0,1
1518,791.69,4.77,0,0,1
1517,786.72,6.41,0,0,1
1516,730.99,6.37,0,0,1
1515,729.37,5.35,0,0,1
1514,721.97,5.26,0,0,1
1513,711.33,4.18,0,0,1
1512,708.27,5.33,0,0,1
1511,729.59,5.04,0,0,1
1510,717.68,6.09,0,0,1
1509,722.09,4.82,0,0,1
1508,714.05,4.57,0,0,1
1507,725.46,4.66,0,0,1
1506,723.82,4.76,0,0,1
1505,712.33,4.46,0,0,1
1454,727.39,4.83,0,0,1
1453,744.48,5.12,0,0,1
1452,754.32,5.32,0,0,1
1451,728.35,6.71,0,0,1
1450,758.33,5.98,0,0,1
1449,751.56,6.93,0,0,1
1448,729.7,6.44,0,0,1
1447,747.43,7.13,0,0,1
1446,737.85,6.53,0,0,1
1445,719.67,6.44,0,0,1
1444,750.88,6.65,0,0,1
1443,730.01,6.94,0,0,1
1442,732.56,6.39,0,0,1
1441,713.78,5.43,0,0,1
1470,713.7,5.24,0,0,1
1469,711.95,5.48,0,0,1
1468,714.3,5.43,0,0,1
1467,707.57,7.7,0,0,1
1466,719.38,5.87,0,0,1
1465,687.63,7.28,0,0,1
1464,780.54,6.58,0,0,1
1463,770.71,5.51,0,0,1
1462,777.7,5.53,0,0,1
1461,779.35,4.02,0,0,1
1460,791.53,6.42,0,0,1
1459,778.99,7.9,0,0,1
1458,776.11,5.35,0,0,1
1457,788.53,6.46,0,0,1
1406,809.86,7.21,0,0,1
1405,815.9,5.52,0,0,1
1404,782.33,6.29,0,0,1
1403,783.63,6.22,0,0,1
1402,774.88,5.52,0,0,1
1401,779.26,5.44,0,0,1
1400,783.43,6.45,0,0,1
1399,782.61,6.17,0,0,1
1398,797.71,7.47,0,0,1
1397,791.43,5.42,0,0,1
1396,803.66,5.79,0,0,1
1395,803.21,5.25,0,0,1
1394,802.16,5.45,0,0,1
1393,788.9,4.89,0,0,1
1390,787.87,4.98,0,0,1
1389,789.75,5.04,0,0,1
1388,802.59,5.02,0,0,1
1387,789.85,4.93,0,0,1
1386,809.36,5.12,0,0,1
1385,794.05,5.44,0,0,1
1384,810.22,5.64,0,0,1
1383,789.44,5.07,0,0,1
1382,776.91,4.61,0,0,1
1381,775.27,4.95,0,0,1
1380,759.98,5.61,0,0,1
1379,759.85,4.54,0,0,1
1378,773.47,3.95,0,0,1
1377,770.7,3.96,0,0,1
1326,766.84,4.7,0,0,1
1325,791.51,5.06,0,0,1
1324,786.56,4.9,0,0,1
1323,798.1,4.93,0,0,1
1322,775.79,3.94,0,0,1
1321,807.48,5.71,0,0,1
1320,773.08,5.36,0,0,1
1319,777.31,3.99,0,0,1
1318,769.02,4.75,0,0,1
1317,774.55,4.49,0,0,1
1316,778.1,4.53,0,0,1
1315,785.76,6.78,0,0,1
1314,387.79,2.33,0,0,1
1313,1724.32,972.56,0,0,1
1342,1627.91,1001.29,0,0,1
1341,1522.66,1017.49,0,0,1
1340,1713.88,979.34,0,0,1
1339,1361.31,1023.26,0,0,1
1338,1471.14,1022.16,0,0,1
1337,1501.13,1019.66,0,0,1
1336,376.5,2.76,0,0,1
1335,1417.97,1024.13,0,0,1
1334,1797.43,946.12,0,0,1
1333,1739.92,970.21,0,0,1
1332,1700.26,978.67,0,0,1
1331,1405.61,1024.08,0,0,1
1330,1315.37,1019.39,0,0,1
1329,1585.48,1008.85,0,0,1
1073,763.13,4.93,0,0,1
1074,764.02,5.5,0,0,1
